Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Pythie I,97,97,66.67,77,97,97,102.81,4.78,102.39,37.3,42,42,-4.47,-4.47,3,3,218.25,218.25,-5.48,-6.48,-8.13,-8.8,2986.16,2884.55,5119.14,5371.22,3839.35,4177.62,4771.46,5064.37,-8.37,-9.06,2043.39,1851.08,5545.73,5868.56,4692.54,4873.89,3412.76,3381.88,2559.57,2387.21,3412.76,3381.88,-7.07,-7.87,-7.75,-8.49,4095.31,3819.54,2986.16,2884.55,5.29,5.29,426.59,497.34,426.59,497.34,106.65,124.33,-4.47,-4.47,95.92,95.92,0.97,20.94,12,12,107.14,96.1,38.78,38.66,1.9,1.91,50,50,1,1,50,50,100,100,38.58,50.63,16.97,36.47,60.56,65.89,47.51,42.29,746.54,870.34,31.18,38.99,97,81.5,5.61,7.25,121.61,109.06,1.06,1.06,93.67,93.67,2.2,16.28,0,0,64,64,75.77,73.71,319.95,373,93.76,172.76,3.91,2.59,371.37,372.07,16.14,14.82,17.29,17.29,443.89,449.99,116.68,85.16,7.49,12.71,51.04,56.15,-51.48,-51.48,78.42,74.5,97.83,97.83,49371.95,48675.72,3094.96,20947.51,318206,100043,319.95,373,20.69,16.01,-6.32,-6.32,152100000000,157800000000,46607.12,45171.06,3.19,3.19,28.2,21.45
NeutralLand,56.67,56.67,36,44.67,66.67,66.67,2.17,1.86,30.8,29.88,45.34,45.34,443,535.16,50.5,50.5,112.5,112.5,0,-3.46,1275.85,924.76,4252.84,4623.81,-3.46,-4.9,0,-2.83,3891.35,4271.88,1417.61,1198.76,2948.63,3103.94,-8.66,-9.64,-6.32,-7.21,-5.48,-6.48,1311.29,1070.33,-7.75,-8.49,-6.32,-7.21,-7.35,-8.12,2578.37,2305.59,5670.45,5822.57,11.58,11.58,1683.41,2033.62,1417.61,1712.52,1329.01,1605.49,443,535.16,32.69,32.69,45.99,53.68,15.51,15.51,43.63,47.42,26.15,26.11,15.36,15.43,51,51,1,1,50.5,50.5,99,99,62.39,62.93,93.7,94.55,71.79,73.1,9.07,6.88,1594.81,1926.59,76.05,77.31,34,40.5,38.34,43.69,59.11,55.75,1.51,1.51,93.52,93.52,672.91,618.52,-4,-4,64,64,55.89,58.5,886.01,1070.33,656.44,693.79,0.34,0.33,184.69,185.19,9.81,9.86,17.79,17.79,535.21,538.18,1.95,1.88,45.93,48.12,50.87,52.86,75.17,75.17,18.71,-15.81,104.46,104.46,32029.27,33040.21,21193.49,23752.79,46081,44252,1329.01,1605.49,3.02,2.92,354.4,428.13,4500000000,2300000000,19762.06,18601.64,13.68,13.68,12.48,13.9
Betelgeuse XII,72.61,72.61,71.71,71.71,74,74,1.5,1.5,19.98,19.98,48.04,48.04,13995.42,13995.42,32.08,32.08,209,209,-25.5,-25.73,-16.97,-17.25,-17.94,-18.28,-16.79,-17.01,-17.14,-17.37,-12.33,-12.52,-31.34,-31.53,-24.03,-24.22,-21.77,-22.05,-23.02,-23.28,-20.49,-20.78,-19.7,-20,-20.25,-20.54,-20.83,-21.12,-4.43,-5.05,-23.09,-23.67,0,0,30.56,30.56,11351.84,11351.84,15083.96,15083.95,6764.45,6764.45,1555.05,1555.05,32.69,32.69,66.83,66.83,19.27,19.27,38.09,38.09,94.24,94.23,0.82,0.82,60.56,60.56,9.3,9.3,52.91,52.91,408,408,82.07,82.07,131.46,131.46,91.71,91.71,17.28,17.28,2488.08,2488.07,143.18,143.19,38.57,38.57,78.41,78.02,-137.27,-135.03,0.52,0.52,95.17,95.17,413.82,413.82,6,6,108,108,42.53,42.51,1710.55,1710.55,1398.19,1398.2,0.13,0.13,112.01,112.4,8.3,8.29,17.79,17.79,3105.84,3107.24,0.63,0.63,37.72,37.72,74.67,74.67,-141.71,-142.47,73.42,71.09,106.51,106.51,72620.69,72620.68,58684.95,58684.94,87809,87809,15006.2,15006.2,1.93,1.93,1166.29,1166.29,854900000000,854000000000,15686.07,15976.55,0.44,0.44,135.64,135.54
Amuns Ast,90,90,57.33,58.33,25,25,3.61,2.26,30.22,29.46,44.83,44.83,0,0,10,10,202.5,202.5,5040.26,4949.87,-7.1,-8.05,-7.48,-8.25,-7.35,-8.12,-3.46,-4.24,307.54,112.07,-7.07,-7.87,3780.19,3712.4,4185.98,4015.93,2050.27,1681.09,-3.46,-4.9,2033.19,1830.52,-1.41,-3.74,-3.46,-4.9,-0.99,-2.62,5888.71,5057.91,5040.26,4949.87,11.53,11.53,2562.84,2801.81,1494.99,1634.39,747.5,817.2,0,0,1190.86,1190.86,27.72,44.24,17.36,17.36,35.36,35.61,28.59,28.56,8.8,8.89,53.09,53.09,1,1,53.38,53.38,94,94,59.26,60.79,58.81,65.8,72.61,73.76,22.23,22.46,961.07,1050.68,54.87,59.03,50,50.75,34.12,39.48,65.33,59.8,13.35,13.35,92.19,92.19,494.38,488.91,0,0,67,67,65.6,65.08,747.5,817.2,493.3,539.18,0.73,0.54,357.73,358.42,11.98,11.95,12.64,12.64,339.04,344.41,2.39,2.23,32.77,32.54,55.1,55.7,-36.74,-36.74,-38.08,-45.28,101.45,101.45,41961.58,39680.83,21085.17,25713.57,76077,58120,2242.49,2451.59,5.97,3.51,427.14,466.97,5100000000,2900000000,27652.68,24006.9,1.41,1.41,14.99,14.99
Solumnis,22.75,22.75,76.67,72.17,5,5,9.95,3.1,34.02,32.25,37.37,37.37,216.29,225.7,77.25,77.25,51.75,51.75,-3.16,-4.69,-9.17,-9.79,3893.2,3520.99,1297.73,812.54,3028.05,2889.02,3296.25,2987.43,5796.55,5507.2,3927.81,3656.42,2595.47,2437.61,-4.47,-5.66,2595.47,2166.77,-7.28,-8.06,1297.73,812.54,4325.78,3972.4,-8.37,-9.06,2076.37,1300.06,9689.75,9028.19,10.3,10.3,0,0,1081.45,1128.52,2595.47,2708.46,1081.45,1128.52,8.49,8.49,10.05,32.26,7.52,7.52,27.74,26.41,1.36,1.33,35.57,35.7,47.8,47.8,1,1,50.5,50.5,93,93,56.31,59.37,46.67,63.24,68.26,70.01,32.05,29.78,2595.47,2708.46,51.69,59.19,72,65.25,17.76,22.82,87.74,78.67,27.02,27.02,91.28,91.28,1287.15,1570.42,-8,-8,64,64,72.2,70.89,973.3,1015.67,256.5,336.02,0.32,0.28,118.16,118.56,13.49,12.91,29.26,29.26,368.31,373.9,26.6,3.68,22.95,25.22,57.74,56.99,50.5,50.5,44.16,36.74,104.81,104.81,55889.09,50764.61,15849.15,27718.49,157763,85924,973.3,1015.67,11.09,5.65,-5.48,-5.48,2700000000,2300000000,45940.83,39190.28,16.26,16.26,20.79,18.27
Pythie II,97,97,66.67,77,97,97,102.81,4.78,102.15,37.6,42,42,-4.47,-4.47,3,3,218.25,218.25,2337.23,2102.64,-7.26,-8,5609.36,5975.92,-6.32,-7.21,2804.68,2987.96,1958.6,1764,1869.79,1549.31,-6.74,-7.49,4674.46,4869.27,-6.32,-7.21,2804.68,2655.96,-5.48,-6.48,5609.36,5975.92,4674.46,4869.27,934.89,442.66,5235.4,5134.86,9816.38,9627.87,5.29,5.29,467.45,553.33,467.45,553.33,116.86,138.33,-4.47,-4.47,95.92,95.92,0.97,20.94,12,12,107.14,96.1,38.3,38.06,1.94,1.96,50,50,1,1,50,50,100,100,38.58,50.63,16.97,36.47,60.58,65.72,47.51,42.29,818.03,968.32,27.39,34.75,97,81.5,6.31,8.05,117.74,105.3,1.06,1.06,93.67,93.67,2.2,16.28,0,0,64,64,75.64,73.58,350.58,414.99,86.94,157.76,4.08,2.76,371.37,372.07,16.55,15.36,17.29,17.29,475.19,481.43,119.68,91.01,7.49,12.71,51.05,56.1,88.6,88.6,-43.01,-49.5,97.83,97.83,45057.17,43750.37,2824.48,18827.9,290397,89920,350.58,414.99,20.69,16.01,-6.32,-6.32,138600000000,141700000000,42218.57,40250.34,3.19,3.19,25.79,19.47
Femboy Airforce 12th Squadron,70.33,70.33,4,21.25,72,72,1.08,1.36,34.77,29.52,45.83,45.83,401.99,995.45,35.5,35.5,146.25,146.25,-2.83,-4.47,136.2,0,870.18,1873.79,1191.77,2670.15,737.76,1686.41,-1.79,-2.83,211.87,327.91,733.03,1463.9,9.46,-3.87,681.01,1405.34,-9.38,-10,690.47,1428.76,-9.38,-10,-7.21,-8,520.22,1007.16,-9.01,-10.02,1082.05,2201.7,17.35,17.35,1064.08,2635.01,685.74,1698.12,520.22,1288.23,401.99,995.45,9.45,9.45,92.58,73.43,16.66,16.66,23.82,37.79,35.12,34.78,2.28,2.32,52.16,52.16,1,1,51.48,51.48,102,102,70.22,69.36,105.15,104.45,67.63,73.67,26.46,20.69,733.03,1815.23,81,79.09,-96,-78.75,67.1,68.44,-0.87,-0.43,0.86,0.86,93.77,93.77,734.06,588.18,-8,-8,64,64,75,76.61,520.22,1288.23,887.67,898.65,0.32,0.33,279.63,280.25,9.79,9.94,24.55,24.55,578.84,581.43,1.64,1.63,28.54,34.31,43.73,49.75,-58.31,-58.31,89.44,86.02,111.79,111.79,13296.73,29488.74,12767.51,25050.76,13791,34117,756.68,1873.79,2.29,2.34,449.28,1112.56,6700000000,6600000000,4374.62,9318.44,13.69,13.69,7.37,9.03
Frogge Squad 47,57.33,57.33,57.33,58.33,57.33,57.33,3.61,2.26,32.8,31.86,42,42,300.14,330.59,50,50,112.5,112.5,3601.7,3438.19,1702.8,1375.72,1200.57,793.43,-7.07,-7.87,2401.13,2380.28,3907.84,3862.67,-3.16,-4.69,-3.87,-5.06,1600.75,1234.22,1200.57,793.43,-7.75,-8.49,-4.47,-5.66,-3.16,-4.69,4802.26,4760.57,0,-3.46,6978.35,6383.86,4802.26,4231.62,9.33,9.33,900.42,991.78,900.42,991.78,1200.57,1322.38,300.14,330.59,119.98,119.98,27.72,44.24,12,12,49.93,50.31,21.84,21.8,21.38,21.43,50,50,1,1,50,50,100,100,56.72,58.44,57.19,67.15,69.43,70.46,0.56,0.78,1200.57,1322.38,73.6,78.44,50,50.75,17.66,21.96,85.77,79.58,3.24,3.24,93.2,93.2,610.35,604.26,0,0,64,64,68.17,67.78,800.38,881.59,613.88,665.31,0.32,0.3,126.07,126.48,10.02,10.07,17.16,17.16,515.69,519.08,2.03,1.93,54.44,54.22,52.69,53.25,60,60,-45.83,-51.96,100.2,100.2,44920.23,42177.16,22571.86,27331.22,81441,61777,800.38,881.59,10.54,7.8,100.05,110.2,4100000000,3700000000,36969.35,32898.18,7.09,7.09,13.23,13.19
Cosmo Kramerica,49.82,49.82,99.83,99.83,62.93,62.93,1.37,1.37,23.02,23.02,15.98,15.98,-7.07,-7.07,55.64,55.64,61.25,61.25,15481.62,15420.4,3505.27,3143.62,1139.21,696.6,2044.74,1583.72,286.26,-1.25,-4.47,-4.98,21090.05,21136.07,-4.74,-5.61,219.08,133.96,-6.32,-7.21,24244.8,24351.13,6835.28,6501.57,292.11,-1.41,-7,-7.81,5433.17,5072.66,0,-5.73,37710.89,37253.06,19.21,19.21,-15.81,-15.81,4965.8,5060.75,6499.36,6623.63,4381.59,4465.37,239.44,239.44,72.82,72.82,0.49,0.49,46.32,46.32,56.86,56.51,1.22,1.23,49.36,49.36,6.28,6.28,31.88,31.88,91,91,75.24,75.24,120.64,120.64,90.08,90.08,10.32,10.33,7229.62,7367.85,5.63,5.63,31,31,40.82,42.38,27.67,24.93,5.22,5.22,92.94,92.94,787.99,787.99,-8,-8,74,74,61.63,58.25,-17.61,-17.61,1071.04,1071,1.42,1.4,10.07,10.18,9.38,9.38,16.68,16.68,932.12,934.05,1.29,1.29,44.68,44.67,87.53,87.54,-113.81,-113.49,124.42,119.55,61.6,61.6,107518.38,105501.72,90935.95,89230.31,124878,122536,3870.4,3944.41,2.1,2.1,-16.43,-16.43,7091300000000,6982300000000,63650.88,60768.99,20.72,20.72,33.11,32.75
State Peace and Development Council,68.1,68.1,47.56,47.56,70,70,1.4,1.4,22.09,22.07,46.76,46.76,4614.26,4645.62,38.86,38.86,139.5,139.5,-7.35,-8.12,-3.35,-4.56,-3.13,-4.27,-7.9,-8.34,-12.9,-13.2,-5.8,-6.2,-13.42,-13.86,-13.53,-13.86,353.43,237.22,-8.6,-9.27,-12.81,-13.27,-7.56,-8.43,-3.74,-5.1,-14.63,-15.03,398.2,-1.71,-11.62,-12.72,0,0,19.57,19.57,3730.68,3756.03,10308.46,10378.52,1865.34,1878.02,981.76,988.43,1052.22,1052.22,71.48,71.48,18.02,18.02,34.76,34.76,50.69,50.51,1.37,1.37,52.64,52.64,7.39,7.39,52.44,52.44,233,233,74.33,74.33,106.44,106.44,90.49,90.5,14.7,14.72,1963.52,1976.86,111.01,111.14,32.67,32.67,81.18,81.5,-38.51,-38.77,0.76,0.76,93.94,93.94,548.45,548.45,-8,-8,77,77,49.44,49.29,490.88,494.22,1199.07,1199.1,0.22,0.22,188.89,189.39,9.04,9.04,13.26,13.26,1515.76,1517.42,0.92,0.92,40.3,40.28,63.44,63.44,-61.4,-61.89,57.27,54.04,108.45,108.45,38352.96,38094.09,32119.81,31903.01,44935,44632,7265.01,7314.38,2.13,2.13,785.41,790.74,273100000000,271700000000,7210.36,7047.41,12.39,12.39,69.33,68.81
