Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
The Winged Reapers,76.22,73.67,74.83,82.25,74,74,53.56,29.9,58.73,38.22,37.37,37.37,-7.75,-7.75,26.67,30.5,166.5,157.5,5684.03,5933.16,-3.1,-3.1,3066.38,3200.78,2692.43,2810.44,2767.22,2888.51,1675.29,1748.72,7703.35,8040.99,3141.17,3278.85,2056.72,2146.87,1570.59,1639.43,9049.57,9446.22,1234.03,1288.12,74.79,78.07,448.74,468.41,3440.33,3591.12,7224.7,7541.36,16453.77,17174.94,6,6.24,-12.65,-12.65,373.95,390.34,0,0,186.97,487.92,8.94,8.94,1.87,3.34,8.98,8.98,85.27,82.39,32.33,31.67,2.81,3.01,51.62,51.62,2.52,2.52,51.48,51.48,99,99,41.12,42.97,16,18.8,63.48,65.43,28.59,25.65,2056.72,2146.87,8.79,9.69,90.75,85.75,4.93,5.15,127.5,125.17,0.76,0.76,93.94,93.94,117.87,151.57,-8,-8,64,64,76.29,75.75,93.49,97.58,132.82,153.92,3.97,3.46,261.63,231.05,14.67,14.24,26.89,26.89,282.75,282.75,100.71,92.5,26.41,29.35,55,58.09,15.81,15.81,62.05,62.05,101.85,101.85,63095.7,66153.96,6262.48,9626.88,335407,287850,467.44,487.92,19.72,19.03,-16.43,-16.43,143100000000,198800000000,60004.01,62780.11,13.02,13.12,29.51,27.22
Tinell,78.44,75.5,23,21.33,75.33,75.33,1.63,1.44,30.98,30.65,44.83,44.83,293.89,287.2,23.33,27.75,173.25,164.25,509.42,497.82,-5.93,-5.93,2390.33,2335.92,438.88,428.89,1018.83,995.64,2382.5,2328.27,1528.25,1493.46,3268.88,3194.47,1038.42,1014.79,2664.63,2603.98,2860.56,2795.45,2449.11,2393.36,509.42,497.82,2468.7,2412.51,-3.55,-3.55,885.6,865.44,4427.99,4327.2,14.11,14.21,1665.4,1627.49,881.68,861.61,489.82,478.67,489.82,622.27,1207.99,1207.99,61.21,69.36,17.36,17.36,42.25,37.81,34.68,33.94,2.34,2.46,51.62,51.62,1,1,53.38,53.38,110,110,66.6,67.13,98.8,100.18,71.56,71.99,25.83,26.25,881.68,861.61,61.04,65.22,-77,-82.67,34.01,35.02,50.83,48.39,0.76,0.76,93.94,93.94,446.76,519.73,-8,-8,67,67,77.27,76.82,538.8,526.54,874.28,895.32,0.49,0.43,277.8,244.73,9.85,9.8,12.56,12.56,572.42,572.42,1.65,1.63,29.17,28.75,48.75,48.67,61.07,61.07,48.68,48.68,108.45,108.45,36883.62,36187.67,28442.59,29826.33,46469,43001,1028.63,1005.21,2.51,2.47,391.86,382.94,42200000000,94000000000,24343.19,23521.99,12.56,12.68,13.34,12.16
Cosmo Kramerica,48.36,48.36,100.01,100.02,56.53,56.53,1.39,1.38,22.45,22.43,15.98,15.98,844.04,843.1,56.73,56.73,61,61,15162,15145.16,2357.17,2354.55,-2.05,-2.05,601.57,600.9,-4.5,-4.5,-10.7,-10.7,21054.92,21031.53,-12.73,-12.73,-3.67,-3.67,-8.72,-8.72,21300.46,21276.8,5745.6,5739.22,-5.1,-5.1,-14.66,-14.66,4272.37,4267.62,-9.62,-9.62,36216.92,36176.69,20.35,20.42,-16.12,-16.12,6061.73,6055,7135.96,7128.03,5140.96,5365.19,239.44,239.44,72.15,72.55,0.49,0.49,41.33,41.04,57.69,57.69,1.21,1.21,49.36,49.36,7.03,7.03,31.88,31.88,143,143,77.13,77.15,121.54,121.6,90.32,90.33,9.23,9.4,7903.27,7894.49,5.64,5.64,31.83,31.33,52.85,53.32,3.57,2.49,5.84,5.84,92.87,92.87,835.45,840.22,-8,-8,74,74,54.86,54.76,-17.61,-17.61,1134.9,1134.87,1.2,1.2,9.97,9.97,9.29,9.28,16.68,16.68,1273.33,1273.33,1.08,1.08,45.77,45.6,88.02,88.02,-116.12,-116.12,115.03,115.03,60.89,60.89,102260.62,102376.96,86065.12,86417.7,119289,119113,4680.58,4675.38,2.04,2.04,-16.73,-16.73,3946600000000,4072300000000,48164.75,47810.04,21.02,21.02,40.28,40.28
State Peace and Development Council,66.86,66.86,65.67,69.33,60,60,1.41,1.4,21.23,21.15,46.76,46.76,6920.53,7051.47,40.71,40.71,135,135,-9.49,-9.49,-6.32,-6.32,-5.92,-5.92,-9.17,-9.17,-13.1,-13.1,-11.31,-11.31,-14.7,-14.7,-17.96,-17.96,0,0,-10.49,-10.49,-17.32,-17.32,-9.75,-9.75,-7.07,-7.07,-19.49,-19.49,-3.83,-3.83,-14.89,-14.89,0,0,20.71,20.78,4064.44,4141.34,12742.56,12983.66,2526.54,2574.35,1867.44,2238.56,1052.22,1052.22,70.81,71.21,18.02,18.02,27.15,26.97,51.38,51.38,1.35,1.35,52.64,52.64,8.06,8.06,52.44,52.44,285,285,76.08,76.1,106.81,106.9,90.93,90.98,9.87,10.04,2636.39,2686.28,111.38,111.39,33.5,33,68.16,68.32,-27.71,-28.79,1.16,1.16,93.63,93.63,653.52,657.74,-8,-8,77,77,49.72,49.52,549.25,559.64,1246.67,1246.64,0.22,0.22,187.8,187.8,8.99,8.98,13.26,13.26,1818.93,1818.93,0.83,0.83,45.13,44.96,67.35,68.48,-68.92,-68.92,54.77,54.77,108.14,108.14,47125.49,48352.95,39271.24,40414.41,55456,56751,9007.67,9178.11,2.07,2.07,768.95,783.5,309100000000,321400000000,14985.91,15327.89,12.81,12.81,79.56,78.74
Ugg Lands,68.47,68.47,64.19,67.9,65,65,1.32,1.31,20.59,20.52,44.28,44.28,12077.79,12330.78,38.3,38.3,139.5,139.5,-23.54,-23.54,-13.39,-13.39,-15.68,-15.68,-12.59,-12.59,-18.53,-18.53,-13.48,-13.48,-17.32,-17.32,-22.98,-22.98,-20.05,-20.05,-18.55,-18.55,-24.17,-24.17,-17.49,-17.49,-17.15,-17.15,-24.47,-24.47,-8.96,-8.96,-25.06,-25.06,0,0,28.6,28.65,5920.48,6044.5,12077.79,12330.78,6867.76,7011.62,2052.43,2337.21,74.94,74.94,75.85,76.2,15.9,15.9,27.41,27.23,82.74,82.74,0.9,0.9,53.51,53.51,9.3,9.3,51.96,51.96,436,436,87.95,87.96,119.28,119.34,91.31,91.35,14.35,14.49,7025.64,7172.81,100.92,100.95,27.29,26.86,78.15,78.29,-132.04,-133.11,4.8,4.8,92.99,92.99,647.64,651.24,-2,-2,108,108,43.78,43.66,868.34,886.53,1459.64,1459.63,0.18,0.18,162.19,162.19,8.23,8.23,17.42,17.42,3128.46,3128.46,0.58,0.58,40.65,40.51,70.82,71.95,-151.18,-151.18,96.82,96.82,106.84,106.84,64572.75,66167.15,55807.01,57326.05,73575,75227,10656.87,10880.1,1.82,1.82,1578.8,1611.87,734400000000,758100000000,14141.43,14358.27,17.47,17.47,135.59,135.44
Turmissia,74.89,72.5,24.17,23,75.33,75.33,1.42,1.4,32.67,32.7,39.43,39.43,1262.99,1207.83,28.67,32.25,162,153,1886.06,1803.7,2667.42,2550.94,-6.16,-6.16,-8.6,-8.6,-6,-6,-7.04,-7.04,262.7,251.23,1515.58,1449.4,606.23,579.76,-2,-2,-13.56,-13.56,-9.95,-9.95,202.08,193.25,-8,-8,2862.77,2737.75,-10.57,-10.66,2148.76,2054.92,12.33,12.45,168.4,161.04,1010.39,966.27,1347.18,1288.35,336.8,563.65,1078.45,1078.45,70.28,71.21,13,13,45.16,44.22,32.54,31.92,2.75,2.93,47.8,47.8,1,1,52.44,52.44,132,132,63.97,64.12,103.02,103.34,69.56,69.53,23.58,22.78,2020.78,1932.53,43.64,46.01,-75.83,-77,54.16,54.88,44.33,43.13,0.76,0.76,93.94,93.94,476.24,511,-8,-8,67,67,77.22,77.04,926.19,885.74,987,1000.34,0.47,0.43,249.28,220.17,9.89,9.88,13.14,13.14,787.95,787.95,1.55,1.54,31.42,32.22,47.48,47.02,35.36,35.36,-56.12,-56.12,105.5,105.5,23965.06,23160.1,19891.4,19357.69,28301,27183,926.19,885.74,2.77,2.75,252.6,241.57,262300000000,298000000000,10976,10445.2,15.07,15.16,15.48,14.91
Etruriia,51,51,42.67,33.78,65.33,65.33,2.51,2.1,32.02,32.11,43,43,401.68,362.82,54.75,54.75,103.5,103.5,321.35,290.26,968.86,875.13,964.04,870.77,-7.21,-7.21,-7.48,-7.48,3549.28,3205.9,4755.94,4295.82,-8.35,-8.35,0,0,3534.82,3192.84,3213.47,2902.58,2474.37,2234.99,2892.13,2612.32,-7.07,-7.07,1799.54,1625.44,2399.98,1947.2,6041.33,5456.85,10.63,10.77,482.02,435.39,1044.38,943.34,1365.73,1233.6,401.68,580.52,32.69,32.69,39.79,47.72,13.62,13.62,46.9,42.94,25.36,25.36,16.68,16.68,51,51,1,1,50.5,50.5,99,99,61.42,62.04,90.66,94.75,70.27,70.18,8.16,10.38,1526.4,1378.73,55.03,55.89,39,32.33,22.14,23.47,76.66,73.79,1.81,1.81,93.45,93.45,683.64,742.26,-8,-8,64,64,65.54,63.13,803.37,725.64,704.54,710.97,0.34,0.34,178.88,178.88,9.75,9.69,17.79,17.79,501.41,501.41,1.86,1.85,46.84,44.62,51.09,49.73,58.31,58.31,-43.59,-43.59,106.84,106.84,42160.28,38078.51,25799.57,25701.42,64840,53857,803.37,725.64,3.26,3.1,160.67,145.13,39000000000,53700000000,32842.86,29130.06,13.87,13.87,13.15,11.77
New Golcondan sultinate,73,71.33,62.67,61.78,76.67,76.67,5.37,4.14,33.51,32.54,42,42,-5.48,-5.48,31.5,34,155.25,148.5,-4.9,-4.9,-3.35,-3.35,1571.6,1578.58,4976.73,4998.84,4452.87,4472.64,419.09,420.95,2881.27,2894.06,-1.73,-1.73,-6,-6,-2,-2,5064.04,5086.54,3492.44,3507.96,-2,-2,-4.9,-4.9,-1.67,-1.67,7176.23,6835.39,4452.87,4472.64,7,7,1200.53,1205.86,654.83,657.74,436.56,438.49,-5.48,0,439.84,439.84,18.61,24.17,13.62,13.62,68.2,63.9,32.06,31.62,2.89,3.03,50,50,1,1,50.99,50.99,108,108,55.43,56.36,51.92,58.68,68.73,69.7,18.04,14.98,982.25,986.61,38.48,41.5,60,53.33,9.13,9.36,101.38,99.49,0.73,0.73,94.04,94.04,257.87,308.64,-4,-4,64,64,70.6,69.62,218.28,219.25,461.19,507.73,1.45,1.24,109,101.02,11.8,11.21,16.07,16.07,554.43,554.43,2.53,2.33,36.96,40.02,53.64,53.97,-66.71,-66.71,79.06,79.06,101.45,101.45,45457.78,45286.98,18318.81,21103.88,98418,87311,763.97,767.37,12.16,11.02,-4.47,-4.47,2000000000,2800000000,41321.13,41030,12.73,12.81,15.04,13.44
Nikolia,62.44,62.44,97.7,97.89,77.05,77.05,1.51,1.5,19.75,19.74,38.75,38.75,11672.38,11650.93,46.17,46.17,157.5,157.5,-18.81,-18.81,-12.13,-12.13,-13.07,-13.07,-12.82,-12.82,-17.96,-17.96,-13.77,-13.77,-17.72,-17.72,-23.94,-23.94,-14.49,-14.49,-21.77,-21.77,-23.75,-23.75,-16.85,-16.85,-15.94,-15.94,-22.69,-22.69,4339.79,4331.82,-9.28,-9.28,0,0,27.46,27.51,4571.68,4563.28,14590.48,14563.66,6128,6116.74,6808.89,7087.65,1698.53,1698.53,66.41,66.69,15.09,15.09,40.01,39.83,68.18,68.18,1.05,1.05,56.34,56.34,12.67,12.67,54.76,54.76,414,414,75.05,75.06,117.91,117.97,91.87,91.87,13.91,14.04,7295.24,7281.83,98.27,98.3,39.12,38.75,90.27,90.31,-135.56,-136.62,4.27,4.27,93.05,93.05,476.03,478.73,8,8,105,105,47.13,46.98,2334.48,2330.19,1348.19,1348.18,0.19,0.19,46.63,46.63,7.61,7.6,10.52,10.52,2619.06,2619.06,0.68,0.68,41.09,40.96,89.75,89.75,-125.97,-125.97,69.8,69.8,104.81,104.81,79025.93,79171.94,63643.4,63908.69,95841,95823,10894.23,10874.2,2.11,2.1,1750.86,1747.64,926200000000,939800000000,7665.52,7679.68,13.78,13.78,133.45,133.3
Blitz the O is silent 8,57.33,57.33,64,64,57.33,57.33,4.36,4.36,32.76,32.76,42,42,119.51,119.51,50,50,112.5,112.5,2390.12,2390.12,764.84,764.84,4780.24,4780.24,4302.22,4302.22,3154.96,3154.96,764.84,764.84,-6.32,-6.32,1075.55,1075.55,-4.47,-4.47,-5.48,-5.48,3824.19,3824.19,0,0,3346.17,3346.17,-6.32,-6.32,3824.19,3824.19,-2,-2,7170.36,7170.36,9.22,9.22,1075.55,1075.55,1075.55,1075.55,1434.07,1434.07,358.52,358.52,119.98,119.98,22.94,22.94,12,12,52.47,52.47,24.8,24.8,17.53,17.53,50,50,1,1,50,50,94,94,56.09,56.09,53.59,53.59,69.46,69.46,2.22,2.22,1434.07,1434.07,80.38,80.38,55,55,21.68,21.68,83.08,83.08,3.24,3.24,93.2,93.2,570.34,570.34,0,0,64,64,69,69,956.05,956.05,443.16,443.16,0.33,0.33,125.79,125.79,11.96,11.96,17.16,17.16,387.54,387.54,2.63,2.63,52.78,52.78,53.81,53.81,10,10,70,70,100.2,100.2,42209.54,42209.54,19109.79,19109.79,83298,83298,956.05,956.05,11.36,11.36,119.51,119.51,488900000000,490000000000,33050.07,33050.07,7.09,7.09,12.91,12.91
